Tên công việc,Mức lương,Khu vực tuyển,Cấp bậc,Số lượng tuyển,Hình thức làm việc,Yêu cầu bằng cấp,Yêu cầu kinh nghiệm,Ngành nghề,Quy mô công ty,Loại công ty
[Đồng Tháp] Nhân Viên Tư Vấn Tín Dụng - Kênh Trả Góp,11.5,Đồng Tháp,Chuyên viên- nhân viên,5,Toàn thời gian cố định,Trung học,Chưa có kinh nghiệm,Bán hàng - Kinh doanh/Lao động phổ thông/Chăm sóc khách hàng,Trên 300 người,1
Nhân Viên Hỗ Trợ Thanh Toán Địa Bàn Tại Gia Lai,20.0,Gia Lai,Chuyên viên- nhân viên,1,Toàn thời gian cố định,Trung học,Chưa có kinh nghiệm,Bán hàng - Kinh doanh/Tài chính - Đầu tư - Chứng Khoán/Lao động phổ thông,Trên 300 người,1
Nhân Viên Hỗ Trợ Thanh Toán Địa Bàn Tại Bến Tre,20.0,Bến Tre,Chuyên viên- nhân viên,2,Toàn thời gian cố định,Trung học,Chưa có kinh nghiệm,Bán hàng - Kinh doanh/Tài chính - Đầu tư - Chứng Khoán/Nghề nghiệp khác,Trên 300 người,1
Chuyên Viên Tố Tụng (Cần Thơ),13.5,TP.HCM,Chuyên gia,2,Toàn thời gian cố định,Đại học,2 năm,Tài chính - Đầu tư - Chứng Khoán/Luật - Pháp Lý - Tuân thủ/Ngân hàng,Trên 300 người,1
Nhân Viên Hỗ Trợ Thanh Toán Tại Địa Bàn_ Bình Phước,20.0,Bình Phước,Chuyên viên- nhân viên,5,Toàn thời gian cố định,Trung học,Chưa có kinh nghiệm,Bán hàng - Kinh doanh/Ngân hàng/Tài chính - Đầu tư - Chứng Khoán,Trên 300 người,1
Nhân Viên Hỗ Trợ Thanh Toán Tại Địa Bàn_Bình Dương,20.0,Bình Dương,Chuyên viên- nhân viên,3,Toàn thời gian cố định,Trung học,Chưa có kinh nghiệm,Bán hàng - Kinh doanh/Ngân hàng/Tài chính - Đầu tư - Chứng Khoán,Trên 300 người,1
Nhân Viên Hỗ Trợ Thanh Toán Tại Địa Bàn_Tây Ninh,20.0,Tây Ninh,Chuyên viên- nhân viên,3,Toàn thời gian cố định,Trung học,Chưa có kinh nghiệm,Bán hàng - Kinh doanh/Ngân hàng/Tài chính - Đầu tư - Chứng Khoán,Trên 300 người,1
Nhân Viên Hỗ Trợ Thanh Toán Tại Địa Bàn_Bình Thuận,20.0,Bình Thuận,Chuyên viên- nhân viên,3,Toàn thời gian cố định,Trung học,Chưa có kinh nghiệm,Bán hàng - Kinh doanh/Ngân hàng/Tài chính - Đầu tư - Chứng Khoán,Trên 300 người,1
Nhân Viên Hỗ Trợ Thanh Toán Tại Địa Bàn_Đồng Nai,20.0,Đồng Nai,Chuyên viên- nhân viên,2,Toàn thời gian cố định,Trung học,Chưa có kinh nghiệm,Bán hàng - Kinh doanh/Tài chính - Đầu tư - Chứng Khoán/Ngân hàng,Trên 300 người,1
Nhân Viên Tư Vấn Tín Dụng - Kênh Trả Góp - Cao Lãnh (Đồng Tháp),11.5,Đồng Tháp,Chuyên viên- nhân viên,10,Toàn thời gian cố định,Trung học,Dưới 1 năm,Tài chính - Đầu tư - Chứng Khoán/Ngân hàng/Bán hàng - Kinh doanh,Trên 300 người,1
"Nhân Viên Hỗ Trợ Thanh Toán Tại Địa Bàn - An Giang, Đồng Tháp",22.5,"An Giang, Đồng Tháp",Chuyên viên- nhân viên,10,Toàn thời gian cố định,Trung học,Chưa có kinh nghiệm,Bán hàng - Kinh doanh/Tài chính - Đầu tư - Chứng Khoán/Nghề nghiệp khác,Trên 300 người,1
"Nhân Viên Hỗ Trợ Thanh Toán Tại Địa Bàn_ Thành Phố Phú Quốc, Kiên Giang",22.5,Kiên Giang,Chuyên viên- nhân viên,3,Toàn thời gian cố định,Trung học,Chưa có kinh nghiệm,Bán hàng - Kinh doanh/Tài chính - Đầu tư - Chứng Khoán/Nghề nghiệp khác,Trên 300 người,1
Nhân Viên Hỗ Trợ Thanh Toán Tại Địa Bàn_Sóc Trăng,22.5,Sóc Trăng,Chuyên viên- nhân viên,5,Toàn thời gian cố định,Trung học,Chưa có kinh nghiệm,Bán hàng - Kinh doanh/Tài chính - Đầu tư - Chứng Khoán/Nghề nghiệp khác,Trên 300 người,1
Nhân Viên Hỗ Trợ Thanh Toán Tại Địa Bàn_Cà Mau,22.5,Cà Mau,Chuyên viên- nhân viên,5,Toàn thời gian cố định,Trung học,Chưa có kinh nghiệm,Bán hàng - Kinh doanh/Tài chính - Đầu tư - Chứng Khoán/Nghề nghiệp khác,Trên 300 người,1
Nhân Viên Nghiệp Vụ （Tiếng Trung Hoặc Tiếng Anh）,10.5,Bình Dương,Chuyên viên- nhân viên,2,Toàn thời gian cố định,Đại học,1 năm,Hành chính - Thư ký/Bán hàng - Kinh doanh/Biên phiên dịch,Trên 300 người,1
Kỹ Sư Điện (Bình Phước),10.0,Bình Phước,Chuyên viên- nhân viên,2,Toàn thời gian cố định,Trung cấp,1 năm,Điện - Điện tử - Điện lạnh/Khoa học - Kỹ thuật/Xây dựng,Dưới 10 người,1
Nhân Viên Kinh Doanh - Đi Làm Ngay,11.0,Hà Nội,Chuyên viên- nhân viên,1,Toàn thời gian cố định,Trung học,Chưa có kinh nghiệm,Biên phiên dịch/Kế toán/Thu mua - Kho Vận - Chuỗi cung ứng,Dưới 10 người,2
"Nhân Viên Vận Hành Máy (Công Ty Dược, Làm Việc Tại Hưng Yên)",8.0,Hưng Yên,Chuyên viên- nhân viên,2,Toàn thời gian cố định,Trung cấp,1 năm,Vận hành - Bảo trì - Bảo dưỡng/Điện - Điện tử - Điện lạnh/Sản xuất - Lắp ráp - Chế biến,Trên 300 người,2
Nhân Viên Nhân Sự,8.5,Nghệ An,Chuyên viên- nhân viên,1,Toàn thời gian cố định,Đại học,1 năm,Nhân sự/Hành chính - Thư ký,Trên 300 người,2
Hà Nội - Nhân Viên Kinh Doanh (Không Yêu Cầu Kinh Nghiệm),9.5,Hà Nội,Chuyên viên- nhân viên,5,Toàn thời gian cố định,Cao đẳng,Chưa có kinh nghiệm,Bán hàng - Kinh doanh/Hóa học - Hóa sinh/Dược phẩm,10 - 150 người,2
Quản Lý Bộ Phận Marketing,17.5,Hà Nội,Quản lý cấp trung,1,Toàn thời gian cố định,Đại học,1 năm,Marketing/Dệt may - Da giày - Thời trang/Thông tin - Truyền thông - Quảng cáo,150 - 300 người,2
"Thợ Kỹ Thuật Cơ Khí - Điện Nước Tại Gia Lâm, Hà Nội (Đi Làm Ngay)",16.0,Hà Nội,Chuyên viên- nhân viên,2,Toàn thời gian cố định,Không,2 năm,Khoa học - Kỹ thuật/Lao động phổ thông/Điện - Điện tử - Điện lạnh,10 - 150 người,1
Giáo Viên Tiếng Nhật,8.0,"Vĩnh Long, Trà Vinh, Cần Thơ",Chuyên viên- nhân viên,5,Toàn thời gian cố định,Chứng chỉ,1 năm,Giáo dục - Đào tạo/Biên phiên dịch,10 - 150 người,1
"Nhân Viên Marketing (Online Tiktok, Facebook, Website)",9.5,"Bắc Giang, Lâm Đồng",Chuyên viên- nhân viên,6,Toàn thời gian cố định,Cao đẳng,Dưới 1 năm,Marketing/Thông tin - Truyền thông - Quảng cáo/Truyền hình - Báo chí - Biên tập,10 - 150 người,1
 Kỹ Sư Thiết Kế Cơ Điện - Xây Dựng ( Lương Cứng Từ 13 - 25 Triệu ) + Thưởng,19.0,Hà Nội,Chuyên viên- nhân viên,3,Toàn thời gian cố định,Đại học,1 năm,Điện - Điện tử - Điện lạnh/Xây dựng/Cơ khí - Ô tô - Tự động hóa,Trên 300 người,2
 Kỹ Sư Giám Sát Cơ Điện - Xây Dựng ( Lương Cứng 13 -18 triệu ) + Thưởng,15.5,"Vĩnh Phúc, Hà Nam, Hưng Yên",Chuyên viên- nhân viên,5,Toàn thời gian cố định,Đại học,1 năm,Điện - Điện tử - Điện lạnh/Cơ khí - Ô tô - Tự động hóa/Xây dựng,Trên 300 người,2
Tài Xế Lái Xe Ô Tô  (Nói Được Tiếng Trung),8.0,Tiền Giang,Chuyên viên- nhân viên,3,Toàn thời gian cố định,Không,Dưới 1 năm,Vận Tải - Lái xe - Giao nhận/Lao động phổ thông/Biên phiên dịch,10 - 150 người,1
Phiên Dịch Tiếng Trung,15.0,Hà Nội,Chuyên viên- nhân viên,2,Toàn thời gian cố định,Đại học,1 năm,Biên phiên dịch,10 - 150 người,1
Nhân Viên Kỹ Thuật Hóa Học,9.5,Long An,Chuyên viên- nhân viên,2,Toàn thời gian cố định,Trung cấp,Chưa có kinh nghiệm,Hóa học - Hóa sinh/Nông - Lâm - Ngư nghiệp/Sản xuất - Lắp ráp - Chế biến,10 - 150 người,2
Trưởng Phòng Kỹ Thuật,15.0,TP.HCM,Quản lý cấp trung,1,Toàn thời gian cố định,Đại học,3 năm,Khoa học - Kỹ thuật/Nông - Lâm - Ngư nghiệp/Hóa học - Hóa sinh,Dưới 10 người,1
Nhân Viên CSKH (Nhắc Phí) Tại 519 Kim Mã),10.0,Hà Nội,Chuyên viên- nhân viên,15,Toàn thời gian cố định,Trung học,Chưa có kinh nghiệm,Luật - Pháp Lý - Tuân thủ/Chăm sóc khách hàng/Hành chính - Thư ký,Trên 300 người,1
Nhân Viên Tổng Đài Nhắc Phí (519 Kim Mã),14.0,Hà Nội,Chuyên viên- nhân viên,15,Toàn thời gian cố định,Trung học,Chưa có kinh nghiệm,Ngân hàng/Lao động phổ thông/Nghề nghiệp khác,Trên 300 người,1
Việc Làm Văn Phòng_Nhân Viên Tổng Đài Nhắc Phí,10.0,Hà Nội,Chuyên viên- nhân viên,15,Toàn thời gian cố định,Trung học,Chưa có kinh nghiệm,Bán hàng - Kinh doanh/Bảo hiểm/Bất động sản,Trên 300 người,1
Nhân Viên Pha Chế - Phan Thiết,6.25,Bình Thuận,Chuyên viên- nhân viên,2,Toàn thời gian cố định,Không,1 năm,Khách sạn - Nhà hàng - Du lịch,150 - 300 người,2
[Long An] Nhân Viên Tư Vấn Tín Dụng - Kênh Trả Góp,11.5,Long An,Chuyên viên- nhân viên,5,Toàn thời gian cố định,Trung học,Chưa có kinh nghiệm,Bán hàng - Kinh doanh/Tài chính - Đầu tư - Chứng Khoán/Chăm sóc khách hàng,Trên 300 người,1
Giám Sát Kỹ Thuật Bảo Trì - Phan Thiết,11.0,Bình Thuận,Quản lý nhóm- giám sát,5,Toàn thời gian cố định,Trung cấp,1 năm,Khách sạn - Nhà hàng - Du lịch/Khoa học - Kỹ thuật/Vận hành - Bảo trì - Bảo dưỡng,150 - 300 người,2
[Tây Ninh] Nhân Viên Tư Vấn Tín Dụng - Kênh Trả Góp,11.5,Tây Ninh,Chuyên viên- nhân viên,5,Toàn thời gian cố định,Trung học,Chưa có kinh nghiệm,Bán hàng - Kinh doanh/Chăm sóc khách hàng/Lao động phổ thông,Trên 300 người,1
Nhân Viên Mc / Livestream Tiktok-Yotube,11.0,Hà Nội,Chuyên viên- nhân viên,2,Toàn thời gian cố định,Không,Dưới 1 năm,Thông tin - Truyền thông - Quảng cáo/Marketing/Bán hàng - Kinh doanh,150 - 300 người,1
Nhân Viên Video Editor,15.0,Hà Nội,Chuyên viên- nhân viên,2,Toàn thời gian cố định,Cao đẳng,1 năm,Marketing/Thông tin - Truyền thông - Quảng cáo/Thiết kế - Sáng tạo nghệ thuật,150 - 300 người,1
Quản Lý Cửa Hàng - Lotte Liễu Giai,10.5,Hà Nội,Quản lý cấp trung,2,Toàn thời gian cố định,Không,2 năm,Bán sỉ - Bán lẻ - Quản lý cửa hàng/Bán hàng - Kinh doanh/Dệt may - Da giày - Thời trang,Trên 300 người,1
Nhân Viên Sửa Khuôn -Bảo Dưỡng Khuôn,10.0,Hải Phòng,Chuyên viên- nhân viên,5,Toàn thời gian cố định,Trung học,1 năm,Vận hành - Bảo trì - Bảo dưỡng/Khoa học - Kỹ thuật/Nghề nghiệp khác,10 - 150 người,2
Nhân Viên Vận Hành Máy CNC -Edm,10.0,Hải Phòng,Chuyên viên- nhân viên,5,Toàn thời gian cố định,Trung học,1 năm,Vận hành - Bảo trì - Bảo dưỡng/Khoa học - Kỹ thuật/Nghề nghiệp khác,10 - 150 người,2
Nhân Viên Kinh Doanh (Ngành Dầu Nhớt),8.5,TP.HCM,Chuyên viên- nhân viên,2,Toàn thời gian cố định,Trung cấp,Dưới 1 năm,Bán hàng - Kinh doanh/Bán sỉ - Bán lẻ - Quản lý cửa hàng/Chăm sóc khách hàng,10 - 150 người,1
Kế Toán Nội Bộ,9.0,Long An,Chuyên viên- nhân viên,1,Toàn thời gian cố định,Cao đẳng,2 năm,Kế toán/Kiểm toán/Tài chính - Đầu tư - Chứng Khoán,10 - 150 người,1
Nhân Viên Thiết Kế Đồ Họa,9.5,TP.HCM,Chuyên viên- nhân viên,1,Toàn thời gian cố định,Cao đẳng,1 năm,Thiết kế - Sáng tạo nghệ thuật/Thông tin - Truyền thông - Quảng cáo,10 - 150 người,1
Trợ Lý Tổng Hợp,12.5,An Giang,Chuyên viên- nhân viên,2,Toàn thời gian cố định,Cao đẳng,1 năm,Hành chính - Thư ký/Nhân sự/Chăm sóc khách hàng,10 - 150 người,2
"Trưởng Phòng Kinh Doanh, Thị Trường Công Ty Vàng Bạc, Đá Quý",26.0,Hà Nội,Quản lý cấp trung,4,Toàn thời gian cố định,Cao đẳng,2 năm,Bán sỉ - Bán lẻ - Quản lý cửa hàng/Bán hàng - Kinh doanh/Tài chính - Đầu tư - Chứng Khoán,10 - 150 người,2
Nhân Viên Sale Admin Hà Nội,8.0,Hà Nội,Chuyên viên- nhân viên,2,Toàn thời gian cố định,Cao đẳng,1 năm,Bán hàng - Kinh doanh/Y tế - Chăm sóc sức khỏe/Chăm sóc khách hàng,10 - 150 người,1
Quản Lý Cửa Hàng - Long Biên,21.5,Hà Nội,Quản lý nhóm- giám sát,1,Toàn thời gian cố định,Đại học,2 năm,Bán sỉ - Bán lẻ - Quản lý cửa hàng/Marketing/Bán hàng - Kinh doanh,Trên 300 người,1
Nhân Viên Kinh Doanh - Đi Làm Ngay,15.0,Hà Nội,Chuyên viên- nhân viên,5,Toàn thời gian cố định,Trung cấp,Chưa có kinh nghiệm,Bán sỉ - Bán lẻ - Quản lý cửa hàng/Bán hàng - Kinh doanh/Chăm sóc khách hàng,10 - 150 người,1
"Nhân Viên Tư Vấn Tín Dụng Kênh Trả Góp Tại Quận Long Biên, Hoàn Kiếm",11.5,Hà Nội,Chuyên viên- nhân viên,10,Toàn thời gian cố định,Trung học,Dưới 1 năm,Tài chính - Đầu tư - Chứng Khoán/Ngân hàng/Bán hàng - Kinh doanh,Trên 300 người,1
Nhân Viên Tư Vấn Tín Dụng Kênh Trả Góp Tại Nội Thành Hà Nội,11.5,Hà Nội,Chuyên viên- nhân viên,10,Toàn thời gian cố định,Trung học,Dưới 1 năm,Tài chính - Đầu tư - Chứng Khoán/Ngân hàng/Bán hàng - Kinh doanh,Trên 300 người,1
Kế Toán Nội Bộ (Phỏng Vấn Đi Làm Ngay),9.5,Bắc Ninh,Chuyên viên- nhân viên,2,Toàn thời gian cố định,Đại học,Dưới 1 năm,Kế toán/Kiểm toán/Tài chính - Đầu tư - Chứng Khoán,10 - 150 người,2
Nhân Viên Kinh Doanh,8.75,TP.HCM,Chuyên viên- nhân viên,2,Toàn thời gian cố định,Cao đẳng,1 năm,Bán hàng - Kinh doanh/Kiến trúc - Thiết kế nội ngoại thất/Chăm sóc khách hàng,150 - 300 người,2
Giám Đốc Kinh Doanh - Tại Hà Nội,40.0,Hà Nội,Quản lý cấp cao,1,Toàn thời gian cố định,Đại học,3 năm,Bán hàng - Kinh doanh,10 - 150 người,2
Quảng Trị - Nhân Viên Tư Vấn Tín Dụng (Kênh Trả Góp),11.5,Quảng Trị,Chuyên viên- nhân viên,10,Toàn thời gian cố định,Trung học,Dưới 1 năm,Tài chính - Đầu tư - Chứng Khoán/Ngân hàng/Bán hàng - Kinh doanh,Trên 300 người,1
Đồng Nai - Nhân Viên Tư Vấn Tín Dụng (Kênh Trả Góp),11.5,Đồng Nai,Chuyên viên- nhân viên,10,Toàn thời gian cố định,Trung học,Dưới 1 năm,Tài chính - Đầu tư - Chứng Khoán/Ngân hàng/Bán hàng - Kinh doanh,Trên 300 người,1
"Củ Chi, HCM - Nhân Viên Tư Vấn Tín Dụng (Kênh Trả Góp)",11.5,TP.HCM,Chuyên viên- nhân viên,10,Toàn thời gian cố định,Trung học,Dưới 1 năm,Tài chính - Đầu tư - Chứng Khoán/Ngân hàng/Bán hàng - Kinh doanh,Trên 300 người,1
"Đắk Lắk, Buôn Hồ - Nhân Viên Tư Vấn Tín Dụng (Kênh Trả Góp)",11.5,Đắk Lắk,Chuyên viên- nhân viên,10,Toàn thời gian cố định,Trung học,Dưới 1 năm,Tài chính - Đầu tư - Chứng Khoán/Ngân hàng/Bán hàng - Kinh doanh,Trên 300 người,1
Bắc Giang - Nhân Viên Tư Vấn Tín Dụng (Kênh Trả Góp),11.5,Bắc Giang,Chuyên viên- nhân viên,10,Toàn thời gian cố định,Trung học,Dưới 1 năm,Tài chính - Đầu tư - Chứng Khoán/Ngân hàng/Bán hàng - Kinh doanh,Trên 300 người,1
Hải Phòng - Nhân Viên Tư Vấn Tín Dụng (Kênh Trả Góp),11.5,Hải Phòng,Chuyên viên- nhân viên,10,Toàn thời gian cố định,Trung học,Dưới 1 năm,Tài chính - Đầu tư - Chứng Khoán/Ngân hàng/Bán hàng - Kinh doanh,Trên 300 người,1
Quản Lý Quán Cà Phê Và Cơ Sở Lưu Trú,22.5,Kon Tum,Quản lý cấp trung,1,Toàn thời gian cố định,Đại học,3 năm,Khách sạn - Nhà hàng - Du lịch/Thực phẩm - Đồ uống/Chăm sóc khách hàng,10 - 150 người,1
Nhân Viên Thiết Kế Cad 2D,9.0,Tây Ninh,Chuyên viên- nhân viên,1,Toàn thời gian cố định,Cao đẳng,1 năm,Thiết kế - Sáng tạo nghệ thuật/Thông tin - Truyền thông - Quảng cáo/Kiến trúc - Thiết kế nội ngoại thất,10 - 150 người,1
Bác Sĩ Nội Cơ Xương Khớp (Bệnh Viện Quốc Tế D N A),25.0,TP.HCM,Quản lý cấp trung,2,Toàn thời gian cố định,Đại học,2 năm,Y tế - Chăm sóc sức khỏe,Trên 300 người,2
Nhân Viên Kỹ Thuật Ngành Sơn Gỗ,30.0,Đà Nẵng,Chuyên viên- nhân viên,2,Toàn thời gian cố định,Không,2 năm,Hóa học - Hóa sinh/Sản xuất - Lắp ráp - Chế biến/Kiến trúc - Thiết kế nội ngoại thất,10 - 150 người,1
"Quảng Bình, Đồng Hới - Nhân Viên Tư Vấn Tín Dụng (Kênh Trả Góp)",11.5,Quảng Bình,Chuyên viên- nhân viên,10,Toàn thời gian cố định,Trung học,Dưới 1 năm,Tài chính - Đầu tư - Chứng Khoán/Ngân hàng/Bán hàng - Kinh doanh,Trên 300 người,1
Quảng Ngãi- Nhân Viên Tư Vấn Tín Dụng (Kênh Trả Góp),11.5,Quảng Ngãi,Chuyên viên- nhân viên,10,Toàn thời gian cố định,Trung học,Dưới 1 năm,Tài chính - Đầu tư - Chứng Khoán/Ngân hàng/Bán hàng - Kinh doanh,Trên 300 người,1
"Madagui, Lâm Đồng - Nhân Viên Tư Vấn Tín Dụng (Kênh Trả Góp)",11.5,Quảng Ngãi,Chuyên viên- nhân viên,10,Toàn thời gian cố định,Trung học,Dưới 1 năm,Tài chính - Đầu tư - Chứng Khoán/Ngân hàng/Bán hàng - Kinh doanh,Trên 300 người,1
"Buôn Hồ, Đắk Lắk - Nhân Viên Tư Vấn Tín Dụng (Kênh Trả Góp)",11.5,Quảng Ngãi,Chuyên viên- nhân viên,10,Toàn thời gian cố định,Trung học,Dưới 1 năm,Tài chính - Đầu tư - Chứng Khoán/Ngân hàng/Bán hàng - Kinh doanh,Trên 300 người,1
"Hoàn Kiếm, Hà Nội - Nhân Viên Tư Vấn Tín Dụng (Kênh Trả Góp)",11.5,Hà Nội,Chuyên viên- nhân viên,10,Toàn thời gian cố định,Trung học,Dưới 1 năm,Tài chính - Đầu tư - Chứng Khoán/Ngân hàng/Bán hàng - Kinh doanh,Trên 300 người,1
"Tân Uyên, Bình Dương - Nhân Viên Tư Vấn Tín Dụng (Kênh Trả Góp)",11.5,Bình Dương,Chuyên viên- nhân viên,10,Toàn thời gian cố định,Trung học,Dưới 1 năm,Tài chính - Đầu tư - Chứng Khoán/Ngân hàng/Bán hàng - Kinh doanh,Trên 300 người,1
Bắc Giang  - Nhân Viên Tư Vấn Tín Dụng (Kênh Trả Góp),11.5,Bắc Giang,Chuyên viên- nhân viên,10,Toàn thời gian cố định,Trung học,Dưới 1 năm,Tài chính - Đầu tư - Chứng Khoán/Ngân hàng/Bán hàng - Kinh doanh,Trên 300 người,1
Bắc Ninh - Nhân Viên Tư Vấn Tín Dụng (Kênh Trả Góp),11.5,Bắc Ninh,Chuyên viên- nhân viên,10,Toàn thời gian cố định,Trung học,Dưới 1 năm,Tài chính - Đầu tư - Chứng Khoán/Ngân hàng/Bán hàng - Kinh doanh,Trên 300 người,1
Tây Ninh - Nhân Viên Tư Vấn Tín Dụng (Kênh Trả Góp),11.5,Tây Ninh,Chuyên viên- nhân viên,10,Toàn thời gian cố định,Trung học,Dưới 1 năm,Tài chính - Đầu tư - Chứng Khoán/Ngân hàng/Bán hàng - Kinh doanh,Trên 300 người,1
"Tây Ninh, Dương Minh Châu - Nhân Viên Tư Vấn Tín Dụng (Kênh Trả Góp)",11.5,Tây Ninh,Chuyên viên- nhân viên,10,Toàn thời gian cố định,Trung học,Dưới 1 năm,Tài chính - Đầu tư - Chứng Khoán/Ngân hàng/Bán hàng - Kinh doanh,Trên 300 người,1
"Nam Đông, Thừa Thiên Huế - Nhân Viên Tư Vấn Tín Dụng (Kênh Trả Góp)",11.5,Thừa Thiên Huế,Chuyên viên- nhân viên,10,Toàn thời gian cố định,Trung học,Dưới 1 năm,Tài chính - Đầu tư - Chứng Khoán/Ngân hàng/Bán hàng - Kinh doanh,Trên 300 người,1
Kon Tum - Nhân Viên Tư Vấn Tín Dụng (Kênh Trả Góp),11.5,Kon Tum,Chuyên viên- nhân viên,10,Toàn thời gian cố định,Trung học,Dưới 1 năm,Tài chính - Đầu tư - Chứng Khoán/Ngân hàng/Bán hàng - Kinh doanh,Trên 300 người,1
Nhân Viên Tư Vấn Tín Dụng (Kênh Trả Góp) Tại Tam Dương - Vĩnh Phúc,11.5,Vĩnh Phúc,Chuyên viên- nhân viên,10,Toàn thời gian cố định,Trung học,Dưới 1 năm,Tài chính - Đầu tư - Chứng Khoán/Ngân hàng/Bán hàng - Kinh doanh,Trên 300 người,1
Nhân Viên Tư Vấn Tín Dụng (Kênh Trả Góp) Tại Ngọc Hồi - Kon Tum,11.5,Kon Tum,Chuyên viên- nhân viên,10,Toàn thời gian cố định,Trung học,Dưới 1 năm,Tài chính - Đầu tư - Chứng Khoán/Ngân hàng/Bán hàng - Kinh doanh,Trên 300 người,1
Thành Phố Kon Tum - Nhân Viên Tư Vấn Tín Dụng (Kênh Trả Góp),11.5,Kon Tum,Chuyên viên- nhân viên,10,Toàn thời gian cố định,Trung học,Dưới 1 năm,Tài chính - Đầu tư - Chứng Khoán/Ngân hàng/Bán hàng - Kinh doanh,Trên 300 người,1
Mèo Vạc - Hà Giang - Nhân Viên Tư Vấn Tín Dụng (Kênh Trả Góp),11.5,Hà Giang,Chuyên viên- nhân viên,10,Toàn thời gian cố định,Trung học,Dưới 1 năm,Tài chính - Đầu tư - Chứng Khoán/Ngân hàng/Bán hàng - Kinh doanh,Trên 300 người,1
Thợ Kỹ Thuật Sản Xuất Lắp Đặt Nhôm Kính-Kính Cường Lực,11.0,Hà Nội,Chuyên viên- nhân viên,5,Toàn thời gian cố định,Không,Chưa có kinh nghiệm,Lao động phổ thông/Cơ khí - Ô tô - Tự động hóa/Xây dựng,Dưới 10 người,1
Nhân Viên Kinh Doanh Tại Văn Phòng (Lương Cứng + % Hoa Hồng) - Không Yêu Cầu Kinh Nghiệm,12.5,Hà Nội,Chuyên viên- nhân viên,10,Toàn thời gian cố định,Không,Chưa có kinh nghiệm,Bán hàng - Kinh doanh/Bất động sản/Chăm sóc khách hàng,10 - 150 người,2
Nhân Viên Kinh Doanh BĐS Tại Phú Mỹ Hưng - Q7 (Lương Cơ Bản + Hoa Hồng),52.5,TP.HCM,Chuyên viên- nhân viên,100,Toàn thời gian cố định,Không,Chưa có kinh nghiệm,Bất động sản/Bán hàng - Kinh doanh/Hành chính - Thư ký,10 - 150 người,2
Nhân Viên Tư Vấn Khách Hàng - Không Yêu Cầu Kinh Nghiệm - Hỗ Trợ Đào Tạo,6.5,TP.HCM,Chuyên viên- nhân viên,50,Toàn thời gian cố định,Trung học,Chưa có kinh nghiệm,Bất động sản/Chăm sóc khách hàng/Bán hàng - Kinh doanh,Trên 300 người,2
Tài Xế Lái Xe Nâng,7.0,Đồng Nai,Chuyên viên- nhân viên,3,Toàn thời gian cố định,Trung học,1 năm,Thu mua - Kho Vận - Chuỗi cung ứng/Sản xuất - Lắp ráp - Chế biến/Vận Tải - Lái xe - Giao nhận,150 - 300 người,1
Nhân Viên Kinh Doanh Ô Tô,20.0,"Vĩnh Phúc, Hà Nội, Phú Thọ",Chuyên viên- nhân viên,10,Toàn thời gian cố định,Không,Chưa có kinh nghiệm,Bán hàng - Kinh doanh/Bán sỉ - Bán lẻ - Quản lý cửa hàng/Cơ khí - Ô tô - Tự động hóa,10 - 150 người,2
Nhân Viên Tư Vấn Tín Dụng - Kênh Trả Góp - Chợ Gạo (Tiền Giang),11.5,Tiền Giang,Chuyên viên- nhân viên,5,Toàn thời gian cố định,Trung học,Dưới 1 năm,Tài chính - Đầu tư - Chứng Khoán/Ngân hàng/Bán hàng - Kinh doanh,Trên 300 người,1
Trưởng Nhóm Kinh Doanh,40.0,TP.HCM,Quản lý nhóm- giám sát,2,Toàn thời gian cố định,Đại học,1 năm,Bảo hiểm/Chăm sóc khách hàng/Bán hàng - Kinh doanh,10 - 150 người,1
Nhân Viên Kinh Doanh Tiệc Nhà Hàng (Quận 1),12.5,TP.HCM,Chuyên viên- nhân viên,5,Toàn thời gian cố định,Cao đẳng,2 năm,Bán hàng - Kinh doanh/Khách sạn - Nhà hàng - Du lịch,150 - 300 người,1
Kế Toán Tổng Hợp,10.0,Bình Thuận,Chuyên viên- nhân viên,2,Toàn thời gian cố định,Cao đẳng,3 năm,Kế toán/Kiểm toán/Xây dựng,10 - 150 người,1
Nhân Viên Tư Vấn Tín Dụng - Kênh Trả Góp - Tp Bạc Liêu,11.5,Bạc Liêu,Chuyên viên- nhân viên,5,Toàn thời gian cố định,Trung học,Dưới 1 năm,Tài chính - Đầu tư - Chứng Khoán/Ngân hàng/Bán hàng - Kinh doanh,Trên 300 người,1
Nhân Viên Tư Vấn Tín Dụng - Kênh Trả Góp - Hòn Đất - Kiên Giang,11.5,Kiên Giang,Chuyên viên- nhân viên,5,Toàn thời gian cố định,Trung học,Dưới 1 năm,Tài chính - Đầu tư - Chứng Khoán/Ngân hàng/Bán hàng - Kinh doanh,Trên 300 người,1
Nhân Viên Tư Vấn Tín Dụng - Kênh Trả Góp - Văn Giang (Hưng Yên),11.5,Hưng Yên,Chuyên viên- nhân viên,5,Toàn thời gian cố định,Trung học,Dưới 1 năm,Tài chính - Đầu tư - Chứng Khoán/Ngân hàng/Bán hàng - Kinh doanh,Trên 300 người,1
