Liên kết,Tên công việc,Tên công ty,Mức lương,Khu vực tuyển
https://vieclam24h.vn/ban-hang-kinh-doanh/nhan-vien-tiep-thi-mo-hinh-sendo-farm-c13p122id200291534.html,Nhân Viên Tiếp Thị Mô Hình Sendo Farm,Công Ty Cổ Phần Công Nghệ Sen Đỏ,10 - 20 triệu,TP.HCM
https://vieclam24h.vn/marketing/nhan-vien-kinh-doanh-c12p119id200282421.html,Nhân Viên Kinh Doanh,Công Ty TNHH Công Nghiệp Kingtec Việt Nam,10 - 15 triệu,Bình Dương
https://vieclam24h.vn/ke-toan/ke-toan-truong-c17p122id200290800.html,Kế Toán Trưởng,Công Ty TNHH Thương Mại Dịch Vụ Phát Triển Sản Xuất Châu Á,18 - 30 triệu,TP.HCM
https://vieclam24h.vn/ban-hang-kinh-doanh/nhan-vien-kinh-doanh-telesale-ban-hang-qua-dien-thoai-luong-tu-15-25-trieu-kinh-nghiem-tu-1-nam-lam-fulltime-tai-ho-chi-minh-c13p122id200289358.html,"Nhân Viên Kinh Doanh / Telesale / Bán Hàng Qua Điện Thoại (Lương Từ 15 - 25 Triệu, Kinh Nghiệm Từ 1 Năm, Làm Fulltime) Tại Hồ Chí Minh",CÔNG TY TNHH MTV HEALTHPOST,15 - 25 triệu,TP.HCM
https://vieclam24h.vn/tai-chinh-dau-tu-chung-khoan/chuyen-vien-tu-van-tai-chinh-bac-tu-liem-ha-noi-c18p73id200288465.html,"Chuyên Viên Tư Vấn Tài Chính [Bắc Từ Liêm, Hà Nội]",Công Ty TNHH Stradex Việt Nam,7.5 - 15 triệu,Hà Nội
https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-kinh-doanh-luong-cung-10-30-trieu-binh-thanh-khong-ap-so-c6p122id200287740.html,Nhân Viên Kinh Doanh Lương Cứng 10-30 Triệu (Bình Thạnh) Không Áp Số,Công Ty Cổ Phần Đầu Tư Và Dịch Vụ Đất Xanh Miền Nam,9 - 30 triệu,TP.HCM
https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-tu-van-cham-soc-khach-hang-fulltime-thu-nhap-tu-10-20-trieu-data-laptop-co-san-c6p122id200287627.html,"Nhân Viên Tư Vấn Chăm Sóc Khách Hàng Fulltime (Thu Nhập Từ 10 - 20 Triệu, Data + Laptop Có Sẵn)",Công Ty TNHH Thương Mại Vinh Bảo,10 - 18 triệu,TP.HCM
https://vieclam24h.vn/tai-chinh-dau-tu-chung-khoan/nhan-vien-kinh-doanh-tai-van-phong-c18p119id200287396.html,Nhân Viên Kinh Doanh Tại Văn Phòng,Công Ty TNHH Dịch Vụ Truyền Thông Gadas,8 - 20 triệu,Bình Dương
https://vieclam24h.vn/ban-hang-kinh-doanh/chuyen-vien-tu-van-thuan-an-binh-duong-c13p119id200287061.html,Chuyên Viên Tư Vấn [Thuận An-Bình Dương],Công Ty TNHH Stradex Việt Nam,7.5 - 15 triệu,Bình Dương
https://vieclam24h.vn/thiet-ke-sang-tao-nghe-thuat/nhan-vien-quay-va-edit-video-tai-bac-ninh-luong-12-20tr-c3p90id200283417.html,Nhân Viên Quay Và Edit Video Tại Bắc Ninh (Lương 12 - 20Tr),CÔNG TY TNHH Ô TÔ SHINERAY VIỆT NAM,12 - 20 triệu,Bắc Ninh
